"Identifier","Coordinate","Family","Common_Name","SubCellular","SubOrganellar"
"AT3G10030","p01-r31-c22","TRIHELIX","AT3G10030","Cytoplasm","Cytoplasm, cytoskeleton"
"AT4G00850","p01-r31-c23","GIF","GIF3","Nucleus","Chromosome"
"AT4G00850","p01-r31-c24","GIF","GIF3","Nucleus","Chromosome"
"AT1G27370","p01-r31-c25","SBP","SPL10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G27370","p01-r31-c26","SBP","SPL10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G19280","p01-r31-c27","FHA","RAG1","Secreted","Secreted, extracellular space"
"AT5G19280","p01-r31-c28","FHA","RAG1","Secreted","Secreted, extracellular space"
"AT3G20310","p01-r31-c29","AP2-EREBP","ERF7","Nucleus","Nucleus speckle; Chromosome"
"AT3G20310","p01-r31-c30","AP2-EREBP","ERF7","Nucleus","Nucleus speckle; Chromosome"
"AT3G62690","p01-r31-c31","ND","ATL5","Membrane","Cell membrane"
"AT3G62690","p01-r31-c32","ND","ATL5","Membrane","Cell membrane"
"AT1G13300","p01-r31-c33","G2-like","HRS1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G13300","p01-r31-c34","G2-like","HRS1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G09370","p01-r31-c35","MYB","MYB3R-3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G09370","p01-r31-c36","MYB","MYB3R-3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G11200","p01-r31-c37","ALFIN-like","AL2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G11200","p01-r31-c38","ALFIN-like","AL2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G45050","p01-r31-c39","C2C2-GATA","GATA2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G45050","p01-r31-c40","C2C2-GATA","GATA2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G04030","p01-r31-c41","G2-like","MYR2","Nucleus","Chromosome"
"AT3G04030","p01-r31-c42","G2-like","MYR2","Nucleus","Chromosome"
"AT1G76710","p01-r31-c43","SET","ASHH1","Nucleus","Chromosome"
"AT1G76710","p01-r31-c44","SET","ASHH1","Nucleus","Chromosome"
"AT3G12730","p01-r31-c45","G2-like","AT3G12730","Nucleus","Nucleus speckle; Chromosome"
"AT3G12730","p01-r31-c46","G2-like","AT3G12730","Nucleus","Nucleus speckle; Chromosome"
"AT2G17560","p01-r31-c47","HMG","NFD4","NucleusCytoplasm","Chromosome; Cytoplasm, cytosol"
"AT2G17560","p01-r31-c48","HMG","NFD4","NucleusCytoplasm","Chromosome; Cytoplasm, cytosol"
"AT2G18670","p01-r32-c01","ND","AT2G18670","Membrane","Cell membrane"
"AT2G18670","p01-r32-c02","ND","AT2G18670","Membrane","Cell membrane"
"AT2G01570","p01-r32-c03","GRAS","RGA","Nucleus","Chromosome"
"AT2G01570","p01-r32-c04","GRAS","RGA","Nucleus","Chromosome"
"AT3G61550","p01-r32-c05","ND","AT3G61550","Membrane","Cell membrane"
"AT3G61550","p01-r32-c06","ND","AT3G61550","Membrane","Cell membrane"
"AT2G42200","p01-r32-c07","SBP","SPL9","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G42200","p01-r32-c08","SBP","SPL9","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G06200","p01-r32-c09","GRF","GRF6","Nucleus","Chromosome"
"AT2G06200","p01-r32-c10","GRF","GRF6","Nucleus","Chromosome"
"AT5G63790","p01-r32-c11","NAC","NAC102","Nucleus","Chromosome"
"AT5G63790","p01-r32-c12","NAC","NAC102","Nucleus","Chromosome"
"AT1G69780","p01-r32-c13","HB","ATHB13","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus membrane; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT1G69780","p01-r32-c14","HB","ATHB13","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus membrane; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT2G30250","p01-r32-c15","WRKY","WRKY25","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G30250","p01-r32-c16","WRKY","WRKY25","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G08970","p01-r32-c17","CCAAT","NF-YC9","Nucleus","Chromosome"
"AT1G08970","p01-r32-c18","CCAAT","NF-YC9","Nucleus","Chromosome"
"AT4G01580","p01-r32-c19","ABI3-VP1","AT4G01580","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G01580","p01-r32-c20","ABI3-VP1","AT4G01580","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G10030","p01-r32-c21","TRIHELIX","AT3G10030","Cytoplasm","Cytoplasm, cytoskeleton"
"AT3G10030","p01-r32-c22","TRIHELIX","AT3G10030","Cytoplasm","Cytoplasm, cytoskeleton"
"AT4G00850","p01-r32-c23","GIF","GIF3","Nucleus","Chromosome"
"AT4G00850","p01-r32-c24","GIF","GIF3","Nucleus","Chromosome"
"AT1G27370","p01-r32-c25","SBP","SPL10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G27370","p01-r32-c26","SBP","SPL10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G19280","p01-r32-c27","FHA","RAG1","Secreted","Secreted, extracellular space"
"AT5G19280","p01-r32-c28","FHA","RAG1","Secreted","Secreted, extracellular space"
"AT3G20310","p01-r32-c29","AP2-EREBP","ERF7","Nucleus","Nucleus speckle; Chromosome"
"AT3G20310","p01-r32-c30","AP2-EREBP","ERF7","Nucleus","Nucleus speckle; Chromosome"
"AT3G62690","p01-r32-c31","ND","ATL5","Membrane","Cell membrane"
"AT3G62690","p01-r32-c32","ND","ATL5","Membrane","Cell membrane"
"AT1G13300","p01-r32-c33","G2-like","HRS1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G13300","p01-r32-c34","G2-like","HRS1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G09370","p01-r32-c35","MYB","MYB3R-3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G09370","p01-r32-c36","MYB","MYB3R-3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G11200","p01-r32-c37","ALFIN-like","AL2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G11200","p01-r32-c38","ALFIN-like","AL2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G45050","p01-r32-c39","C2C2-GATA","GATA2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G45050","p01-r32-c40","C2C2-GATA","GATA2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G04030","p01-r32-c41","G2-like","MYR2","Nucleus","Chromosome"
"AT3G04030","p01-r32-c42","G2-like","MYR2","Nucleus","Chromosome"
"AT1G76710","p01-r32-c43","SET","ASHH1","Nucleus","Chromosome"
"AT1G76710","p01-r32-c44","SET","ASHH1","Nucleus","Chromosome"
"AT3G12730","p01-r32-c45","G2-like","AT3G12730","Nucleus","Nucleus speckle; Chromosome"
"AT3G12730","p01-r32-c46","G2-like","AT3G12730","Nucleus","Nucleus speckle; Chromosome"
"AT2G17560","p01-r32-c47","HMG","NFD4","NucleusCytoplasm","Chromosome; Cytoplasm, cytosol"
"AT2G17560","p01-r32-c48","HMG","NFD4","NucleusCytoplasm","Chromosome; Cytoplasm, cytosol"
"AT2G01650","p02-r01-c01","C2H2","PUX2","Cytoplasm","Cytoplasm, cytoskeleton"
"AT2G01650","p02-r01-c02","C2H2","PUX2","Cytoplasm","Cytoplasm, cytoskeleton"
"AT5G51780","p02-r01-c03","bHLH","AT5G51780","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G51780","p02-r01-c04","bHLH","AT5G51780","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G47640","p02-r01-c05","bHLH","PYE","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G47640","p02-r01-c06","bHLH","PYE","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G14580","p02-r01-c07","C2H2","AT1G14580","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT1G14580","p02-r01-c08","C2H2","AT1G14580","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT3G03750","p02-r01-c09","SET","SUVR3","Nucleus","Chromosome"
"AT3G03750","p02-r01-c10","SET","SUVR3","Nucleus","Chromosome"
"AT4G38000","p02-r01-c11","C2C2-DOF","DOF4.7","Nucleus","Chromosome"
"AT4G38000","p02-r01-c12","C2C2-DOF","DOF4.7","Nucleus","Chromosome"
"AT4G11070","p02-r01-c13","WRKY","WRKY41","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G11070","p02-r01-c14","WRKY","WRKY41","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G31220","p02-r01-c15","bHLH","bHLH010","Nucleus","Nucleus, nucleolus; Nucleus, PML body; Chromosome"
"AT2G31220","p02-r01-c16","bHLH","bHLH010","Nucleus","Nucleus, nucleolus; Nucleus, PML body; Chromosome"
"AT1G51600","p02-r01-c17","C2C2-GATA","ZML2","Nucleus","Chromosome"
"AT1G51600","p02-r01-c18","C2C2-GATA","ZML2","Nucleus","Chromosome"
"AT1G19210","p02-r01-c19","AP2-EREBP","ERF017","Nucleus","Chromosome"
"AT1G19210","p02-r01-c20","AP2-EREBP","ERF017","Nucleus","Chromosome"
"AT5G29000","p02-r01-c21","G2-like","PHL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G29000","p02-r01-c22","G2-like","PHL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G57560","p02-r01-c23","MYB","MYB50","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G57560","p02-r01-c24","MYB","MYB50","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G38960","p02-r01-c25","Orphans","BBX19","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G38960","p02-r01-c26","Orphans","BBX19","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G29160","p02-r01-c27","C2C2-DOF","COG1","Nucleus","Chromosome"
"AT1G29160","p02-r01-c28","C2C2-DOF","COG1","Nucleus","Chromosome"
"AT3G20670","p02-r01-c29","CCAAT","HTA13","Nucleus","Chromosome"
"AT3G20670","p02-r01-c30","CCAAT","HTA13","Nucleus","Chromosome"
"AT5G06950","p02-r01-c31","bZIP","AtTGA2","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G06950","p02-r01-c32","bZIP","AtTGA2","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G34410","p02-r01-c33","AP2-EREBP","ERF109","Nucleus","Chromosome"
"AT4G34410","p02-r01-c34","AP2-EREBP","ERF109","Nucleus","Chromosome"
"AT1G17460","p02-r01-c35","MYB-related","TRFL3","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G17460","p02-r01-c36","MYB-related","TRFL3","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G02060","p02-r01-c37","G2-like","AT2G02060","Nucleus","Chromosome"
"AT2G02060","p02-r01-c38","G2-like","AT2G02060","Nucleus","Chromosome"
"AT2G44940","p02-r01-c39","AP2-EREBP","AT2G44940","Nucleus","Chromosome"
"AT2G44940","p02-r01-c40","AP2-EREBP","AT2G44940","Nucleus","Chromosome"
"AT4G09180","p02-r01-c41","bHLH","FBH2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G09180","p02-r01-c42","bHLH","FBH2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G10120","p02-r01-c43","bHLH","CIB4","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G10120","p02-r01-c44","bHLH","CIB4","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G25400","p02-r01-c45","bHLH","AT4G25400","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G25400","p02-r01-c46","bHLH","AT4G25400","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G50700","p02-r01-c47","C2H2","AtIDD2","Nucleus","Nucleus speckle; Chromosome"
"AT3G50700","p02-r01-c48","C2H2","AtIDD2","Nucleus","Nucleus speckle; Chromosome"
"AT2G01650","p02-r02-c01","C2H2","PUX2","Cytoplasm","Cytoplasm, cytoskeleton"
"AT2G01650","p02-r02-c02","C2H2","PUX2","Cytoplasm","Cytoplasm, cytoskeleton"
"AT5G51780","p02-r02-c03","bHLH","AT5G51780","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G51780","p02-r02-c04","bHLH","AT5G51780","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G47640","p02-r02-c05","bHLH","PYE","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G47640","p02-r02-c06","bHLH","PYE","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G14580","p02-r02-c07","C2H2","AT1G14580","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT1G14580","p02-r02-c08","C2H2","AT1G14580","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT3G03750","p02-r02-c09","SET","SUVR3","Nucleus","Chromosome"
"AT3G03750","p02-r02-c10","SET","SUVR3","Nucleus","Chromosome"
"AT4G38000","p02-r02-c11","C2C2-DOF","DOF4.7","Nucleus","Chromosome"
"AT4G38000","p02-r02-c12","C2C2-DOF","DOF4.7","Nucleus","Chromosome"
"AT4G11070","p02-r02-c13","WRKY","WRKY41","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G11070","p02-r02-c14","WRKY","WRKY41","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G31220","p02-r02-c15","bHLH","bHLH010","Nucleus","Nucleus, nucleolus; Nucleus, PML body; Chromosome"
"AT2G31220","p02-r02-c16","bHLH","bHLH010","Nucleus","Nucleus, nucleolus; Nucleus, PML body; Chromosome"
"AT1G51600","p02-r02-c17","C2C2-GATA","ZML2","Nucleus","Chromosome"
"AT1G51600","p02-r02-c18","C2C2-GATA","ZML2","Nucleus","Chromosome"
"AT1G19210","p02-r02-c19","AP2-EREBP","ERF017","Nucleus","Chromosome"
"AT1G19210","p02-r02-c20","AP2-EREBP","ERF017","Nucleus","Chromosome"
"AT5G29000","p02-r02-c21","G2-like","PHL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G29000","p02-r02-c22","G2-like","PHL1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G57560","p02-r02-c23","MYB","MYB50","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G57560","p02-r02-c24","MYB","MYB50","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G38960","p02-r02-c25","Orphans","BBX19","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G38960","p02-r02-c26","Orphans","BBX19","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G29160","p02-r02-c27","C2C2-DOF","COG1","Nucleus","Chromosome"
"AT1G29160","p02-r02-c28","C2C2-DOF","COG1","Nucleus","Chromosome"
"AT3G20670","p02-r02-c29","CCAAT","HTA13","Nucleus","Chromosome"
"AT3G20670","p02-r02-c30","CCAAT","HTA13","Nucleus","Chromosome"
"AT5G06950","p02-r02-c31","bZIP","AtTGA2","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G06950","p02-r02-c32","bZIP","AtTGA2","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G34410","p02-r02-c33","AP2-EREBP","ERF109","Nucleus","Chromosome"
"AT4G34410","p02-r02-c34","AP2-EREBP","ERF109","Nucleus","Chromosome"
"AT1G17460","p02-r02-c35","MYB-related","TRFL3","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G17460","p02-r02-c36","MYB-related","TRFL3","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G02060","p02-r02-c37","G2-like","AT2G02060","Nucleus","Chromosome"
"AT2G02060","p02-r02-c38","G2-like","AT2G02060","Nucleus","Chromosome"
"AT2G44940","p02-r02-c39","AP2-EREBP","AT2G44940","Nucleus","Chromosome"
"AT2G44940","p02-r02-c40","AP2-EREBP","AT2G44940","Nucleus","Chromosome"
"AT4G09180","p02-r02-c41","bHLH","FBH2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G09180","p02-r02-c42","bHLH","FBH2","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G10120","p02-r02-c43","bHLH","CIB4","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT1G10120","p02-r02-c44","bHLH","CIB4","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G25400","p02-r02-c45","bHLH","AT4G25400","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G25400","p02-r02-c46","bHLH","AT4G25400","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G50700","p02-r02-c47","C2H2","AtIDD2","Nucleus","Nucleus speckle; Chromosome"
"AT3G50700","p02-r02-c48","C2H2","AtIDD2","Nucleus","Nucleus speckle; Chromosome"
"AT5G43170","p02-r03-c01","C2H2","AZF3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G43170","p02-r03-c02","C2H2","AZF3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G34720","p02-r03-c03","CCAAT","NF-YA4","Nucleus","Chromosome"
"AT2G34720","p02-r03-c04","CCAAT","NF-YA4","Nucleus","Chromosome"
"AT1G59940","p02-r03-c05","Orphans","ARR3","Nucleus","Chromosome"
"AT1G59940","p02-r03-c06","Orphans","ARR3","Nucleus","Chromosome"
"AT1G74930","p02-r03-c07","AP2-EREBP","ORA47","Nucleus","Chromosome"
"AT1G74930","p02-r03-c08","AP2-EREBP","ORA47","Nucleus","Chromosome"
"AT4G11140","p02-r03-c09","AP2-EREBP","CRF1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G11140","p02-r03-c10","AP2-EREBP","CRF1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G55730","p02-r03-c11","MYB","AtMYB109","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G55730","p02-r03-c12","MYB","AtMYB109","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G00050","p02-r03-c13","bHLH","UNE10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G00050","p02-r03-c14","bHLH","UNE10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G66730","p02-r03-c15","C2H2","ENY","Nucleus","Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G66730","p02-r03-c16","C2H2","ENY","Nucleus","Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G04890","p02-r03-c17","GRAS","SCL21","Nucleus","Chromosome"
"AT2G04890","p02-r03-c18","GRAS","SCL21","Nucleus","Chromosome"
"AT1G56170","p02-r03-c19","CCAAT","HAP5B","Nucleus","Chromosome"
"AT1G56170","p02-r03-c20","CCAAT","HAP5B","Nucleus","Chromosome"
"AT5G13910","p02-r03-c21","AP2-EREBP","LEP","Nucleus","Chromosome"
"AT5G13910","p02-r03-c22","AP2-EREBP","LEP","Nucleus","Chromosome"
"AT3G16500","p02-r03-c23","AUX-IAA","PAP1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G16500","p02-r03-c24","AUX-IAA","PAP1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G01780","p02-r03-c25","LIM","PLIM2b","Cytoplasm","Cytoplasm, cytoskeleton"
"AT1G01780","p02-r03-c26","LIM","PLIM2b","Cytoplasm","Cytoplasm, cytoskeleton"
"AT2G24790","p02-r03-c27","C2C2-CO-like","BBX4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G24790","p02-r03-c28","C2C2-CO-like","BBX4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G77250","p02-r03-c29","PHD","AT1G77250","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G77250","p02-r03-c30","PHD","AT1G77250","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G53420","p02-r03-c31","Orphans/","AT5G53420","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G53420","p02-r03-c32","Orphans/","AT5G53420","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G24260","p02-r03-c33","bHLH","LRL1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT2G24260","p02-r03-c34","bHLH","LRL1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT5G49450","p02-r03-c35","bZIP","bZIP1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G49450","p02-r03-c36","bZIP","bZIP1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G25620","p02-r03-c37","DBP","DBP1","Cytoplasm","Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
"AT2G25620","p02-r03-c38","DBP","DBP1","Cytoplasm","Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
"AT4G01680","p02-r03-c39","MYB","AtMYB55","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G01680","p02-r03-c40","MYB","AtMYB55","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G61590","p02-r03-c41","AP2-EREBP","DEWAX","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G61590","p02-r03-c42","AP2-EREBP","DEWAX","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G63470","p02-r03-c43","CCAAT","NF-YC4","Nucleus","Chromosome"
"AT5G63470","p02-r03-c44","CCAAT","NF-YC4","Nucleus","Chromosome"
"AT5G54070","p02-r03-c45","HSF","HSFA9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G54070","p02-r03-c46","HSF","HSFA9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G20880","p02-r03-c47","AP2-EREBP","AtERF53","Nucleus","Chromosome"
"AT2G20880","p02-r03-c48","AP2-EREBP","AtERF53","Nucleus","Chromosome"
"AT5G43170","p02-r04-c01","C2H2","AZF3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G43170","p02-r04-c02","C2H2","AZF3","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT2G34720","p02-r04-c03","CCAAT","NF-YA4","Nucleus","Chromosome"
"AT2G34720","p02-r04-c04","CCAAT","NF-YA4","Nucleus","Chromosome"
"AT1G59940","p02-r04-c05","Orphans","ARR3","Nucleus","Chromosome"
"AT1G59940","p02-r04-c06","Orphans","ARR3","Nucleus","Chromosome"
"AT1G74930","p02-r04-c07","AP2-EREBP","ORA47","Nucleus","Chromosome"
"AT1G74930","p02-r04-c08","AP2-EREBP","ORA47","Nucleus","Chromosome"
"AT4G11140","p02-r04-c09","AP2-EREBP","CRF1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G11140","p02-r04-c10","AP2-EREBP","CRF1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G55730","p02-r04-c11","MYB","AtMYB109","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT3G55730","p02-r04-c12","MYB","AtMYB109","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G00050","p02-r04-c13","bHLH","UNE10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT4G00050","p02-r04-c14","bHLH","UNE10","Nucleus","Nucleus, nucleolus; Nucleus speckle; Chromosome"
"AT5G66730","p02-r04-c15","C2H2","ENY","Nucleus","Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G66730","p02-r04-c16","C2H2","ENY","Nucleus","Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G04890","p02-r04-c17","GRAS","SCL21","Nucleus","Chromosome"
"AT2G04890","p02-r04-c18","GRAS","SCL21","Nucleus","Chromosome"
"AT1G56170","p02-r04-c19","CCAAT","HAP5B","Nucleus","Chromosome"
"AT1G56170","p02-r04-c20","CCAAT","HAP5B","Nucleus","Chromosome"
"AT5G13910","p02-r04-c21","AP2-EREBP","LEP","Nucleus","Chromosome"
"AT5G13910","p02-r04-c22","AP2-EREBP","LEP","Nucleus","Chromosome"
"AT3G16500","p02-r04-c23","AUX-IAA","PAP1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT3G16500","p02-r04-c24","AUX-IAA","PAP1","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G01780","p02-r04-c25","LIM","PLIM2b","Cytoplasm","Cytoplasm, cytoskeleton"
"AT1G01780","p02-r04-c26","LIM","PLIM2b","Cytoplasm","Cytoplasm, cytoskeleton"
"AT2G24790","p02-r04-c27","C2C2-CO-like","BBX4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G24790","p02-r04-c28","C2C2-CO-like","BBX4","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G77250","p02-r04-c29","PHD","AT1G77250","Nucleus","Nucleus, nucleolus; Chromosome"
"AT1G77250","p02-r04-c30","PHD","AT1G77250","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G53420","p02-r04-c31","Orphans/","AT5G53420","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G53420","p02-r04-c32","Orphans/","AT5G53420","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G24260","p02-r04-c33","bHLH","LRL1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT2G24260","p02-r04-c34","bHLH","LRL1","Nucleus","Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
"AT5G49450","p02-r04-c35","bZIP","bZIP1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT5G49450","p02-r04-c36","bZIP","bZIP1","Nucleus","Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
"AT2G25620","p02-r04-c37","DBP","DBP1","Cytoplasm","Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
"AT2G25620","p02-r04-c38","DBP","DBP1","Cytoplasm","Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
"AT4G01680","p02-r04-c39","MYB","AtMYB55","Nucleus","Nucleus, nucleolus; Chromosome"
"AT4G01680","p02-r04-c40","MYB","AtMYB55","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G61590","p02-r04-c41","AP2-EREBP","DEWAX","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G61590","p02-r04-c42","AP2-EREBP","DEWAX","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G63470","p02-r04-c43","CCAAT","NF-YC4","Nucleus","Chromosome"
"AT5G63470","p02-r04-c44","CCAAT","NF-YC4","Nucleus","Chromosome"
"AT5G54070","p02-r04-c45","HSF","HSFA9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT5G54070","p02-r04-c46","HSF","HSFA9","Nucleus","Nucleus, nucleolus; Chromosome"
"AT2G20880","p02-r04-c47","AP2-EREBP","AtERF53","Nucleus","Chromosome"
"AT2G20880","p02-r04-c48","AP2-EREBP","AtERF53","Nucleus","Chromosome"
